id,title,author,type,school,timeframe,description,image_1_url,image_2_url,image_3_url,image_4_url,image_5_url,image_6_url,image_7_url,image_8_url,image_9_url,image_10_url,gt
11,Christ at the Column,ANTONELLO da Messina,religious,Italian,1451-1500,This late painting by Antonello was executed for private devotion,43957-2luke.jpg,05008-findmose.jpg,32539-mad_chil.jpg,32267-19gather.jpg,00781-3predel4.jpg,25224-karlstei.jpg,01094-christ.jpg,37004-service.jpg,44046-1diptych.jpg,04389-annuncia.jpg,7
12,Christ Carrying the Cross,SEBASTIANO DEL PIOMBO,religious,Italian,1501-1550,"The painting was executed for Giovanni Grimani, Patriarch of Aqquileia from 1546 to 1593. There are two other version of the same subject by Sebastiano, one in Rome (Castel Sant'Angelo) and Berlin (Staatliche Museen)",36799-carrying.jpg,35316-sketch1.jpg,25926-cremona1.jpg,05439-110madon.jpg,17474-3malvag4.jpg,00954-02virgin.jpg,37575-cleopatr.jpg,04511-virgin_c.jpg,40266-organ_2.jpg,16534-s_jerome.jpg,1
13,Cleopatra,"SOLARIO, Andrea",religious,Italian,1501-1550,Andrea Solari (Solario) worked together with his four brothers. In c. 1490 he accompanied his brother Cristoforo to Venice from where he returned to Milan after 1495. In Milan he established his reputation as a leading painter.,36799-carrying.jpg,35316-sketch1.jpg,25926-cremona1.jpg,05439-110madon.jpg,17474-3malvag4.jpg,00954-02virgin.jpg,37575-cleopatr.jpg,04511-virgin_c.jpg,40266-organ_2.jpg,16534-s_jerome.jpg,7
14,Coronation of the Virgin,"VERONESE, Paolo",religious,Italian,1551-1600,"This ceiling painting in the sacristy of San Sebastiano has an unusual iconography compared with older depictions. Mary is being crowned by Christ, while God the Father touches His Son's shoulder with his left hand. The date of completion of the ceiling painting is recorded in a book in one of the four corner tondos held by a winged angel. The inscription reads: M.D.L.V./ DIE XXIII/ NOVEMBER (November 23, 1555)",18104-2tosse1.jpg,24259-judith.jpg,10016-m_olives.jpg,31268-adoratio.jpg,36075-5window.jpg,25051-double1.jpg,42510-hagar_is.jpg,35665-deesis2.jpg,42791-1sacris.jpg,36299-man_sorr.jpg,9
15,Deesis Range: The Archangel Michael,"RUBLYOV, Andrey",religious,Russian,1401-1450,"The iconostasis is the elaborately painted wall of icons that separates the Holy Apse from the main nave of an Orthodox church. It has a varying number of tiers. In Byzantine art, the Deesis is a traditional iconic representation of Christ in Majesty enthroned, carrying a book, and flanked by the Virgin Mary and St John the Baptist, and sometimes other saints and angels. The Deesis was often placed above the Holy Door of the iconostasisThe picture shows the left icon from the Deesis Range in Zvenigorod",18104-2tosse1.jpg,24259-judith.jpg,10016-m_olives.jpg,31268-adoratio.jpg,36075-5window.jpg,25051-double1.jpg,42510-hagar_is.jpg,35665-deesis2.jpg,42791-1sacris.jpg,36299-man_sorr.jpg,8
16,Diptych,"WEYDEN, Rogier van der",religious,Flemish,1401-1450,"The two small panels, representing the Madonna and St Catherine of Alexandria, respectively, probably formed a diptych.The busts of prophets on the outside of the Ghent Altarpiece by Jan van Eyck were the model for the bust of God the Father at the top of the left panel. The figures of Adam and Eve were from the same source. The picture is usually regarded as an early work by Rogier himself from the years 1432-35, but the figure of the Madonna is probably after Jan van Eyck's Madonna of the Fountain, dated 1439, in Antwerp.The right panel is rather weaker, and is not by the same painter as the Madonna. As a king's daughter, Catherine has a crown, but she has taken it off, perhaps a sign of humility and reverence before the Madonna, and has placed it on the ground to lie there ignored. The wheel, her attribute, refers to the failure of the attempt to break her on the wheel; the martyr was finally beheaded with a sword",43957-2luke.jpg,05008-findmose.jpg,32539-mad_chil.jpg,32267-19gather.jpg,00781-3predel4.jpg,25224-karlstei.jpg,01094-christ.jpg,37004-service.jpg,44046-1diptych.jpg,04389-annuncia.jpg,9
17,Dutch Reformed Service in the Grote Kerk of Weesp,"SIBILLA, Gijsbert Jansz.",religious,Dutch,1601-1650,"The Grote Kerk in Weesp was originally a Catholic church consecrated to St Lawrence, in 1582 it became Protestant and its name was changed from Laurentiuskerk to Grote Kerk.For Dutch architectural painters the people in the church served as staffage to enliven the stone setting. This is different with Sibilla: for him the architecture is not central, but rather the depicted persons, who are very large in relation to the building. About seventy can be counted, a few of whom seem to be portraits. Certain elements, such as the dogs, bring a genre scene to mind. The combination of a church interior, group portrait, and genre scene is unique in Sibilla's oeuvre",43957-2luke.jpg,05008-findmose.jpg,32539-mad_chil.jpg,32267-19gather.jpg,00781-3predel4.jpg,25224-karlstei.jpg,01094-christ.jpg,37004-service.jpg,44046-1diptych.jpg,04389-annuncia.jpg,8
18,Ecce Homo,"ASSERETO, Gioachino",religious,Italian,1601-1650,This subject was treated by Assereto several times,14788-giustina.jpg,24109-95magi.jpg,17505-14virgin.jpg,16385-chris13.jpg,10534-madonna.jpg,08864-12peter.jpg,02764-eccehomo.jpg,23189-32monaco.jpg,34269-phaeton.jpg,24000-zeno04.jpg,7
19,Elegant Woman at a Mirror,"CABAILLOT-LASSALLE, Camille-Lopold",genre,French,1851-1900,"Representations of domestic life were popular in the nineteenth century. Cabaillot-Lassalle's painting, depicting an elegant woman looking at herself in a mirror, introduces the onlooker into the privileged, secluded life of educated women in the second half of the nineteenth century",08667-01soap.jpg,20578-company5.jpg,04578-pendant2.jpg,29311-painter.jpg,09848-courb111.jpg,04586-young_gi.jpg,06918-elegantw.jpg,21435-fetewood.jpg,22942-09ridott.jpg,03173-spicesho.jpg,7
20,Fall of Phaethon,"RICCI, Sebastiano",religious,Italian,1701-1750,"In Greek mythology Phaethon was the son of Helios, the sun-god. Helios drove his golden chariot, a 'quadriga' yoked to a team of four horses abreast, daily across the sky. Phaethon persuaded his unwilling father to allow him for one day to drive his chariot across the skies. Because he had no skill he was soon in trouble, and the climax came when he met the fearful Scorpion of the zodiac. He dropped the reins, the horses bolted and caused the earth itself to catch fire. In the nick of time Jupiter, father of the goods, put a stop to his escapade with a thunderbolt which wrecked the chariot and sent Phaethon hurtling down in flames into the River Eridanus (according to some, the Po). He was buried by nymphs.  Phaethons's reckless attempt to drive his father's chariot made him the symbol of all who aspire to that which lies beyond their capabilities.Undoubtedly Sebastiano Ricci's dashing virtuoso technique had its roots in the Baroque. In his hands, however, it was translated into an explosive, light-hearted energy.",14788-giustina.jpg,24109-95magi.jpg,17505-14virgin.jpg,16385-chris13.jpg,10534-madonna.jpg,08864-12peter.jpg,02764-eccehomo.jpg,23189-32monaco.jpg,34269-phaeton.jpg,24000-zeno04.jpg,9
21,Fete in a Wood,"LANCRET, Nicolas",genre,French,1701-1750,"The composition reflects Lancret's dependence on Watteau, under whom he had briefly studied c. 1717. Watteau's profound poetic feeling becomes in Lancret no more than a picturesque and amiable evocation of the life of society",08667-01soap.jpg,20578-company5.jpg,04578-pendant2.jpg,29311-painter.jpg,09848-courb111.jpg,04586-young_gi.jpg,06918-elegantw.jpg,21435-fetewood.jpg,22942-09ridott.jpg,03173-spicesho.jpg,8
22,Figures in a Tree-lined Avenue,"CERQUOZZI, Michelangelo",landscape,Italian,1601-1650,"A 1692 Chigi inventory lists two paintings, the Rural Scene (see at Angeluccio) and the Figures in a Tree-lined Avenue and indicates that they are the product of a collaboration between Angeluccio, who painted the landscape, and Michelangelo Cerquozzi, who painted the figures.Though Miel and van Bloemen also painted figures for Angeluccio's landscapes, the majority of his collaborations were with Michelangelo Cerquozzi. Angeluccio seems to have furnished background landscapes for his fellow ""Bamboccianti"" much as Viviano Codazzi executed architectural backgrounds for them. A hypothesis has even been advanced that the nickname ""Angeluccio"" is derived from the closeness of this artist to ""Michele Angelo"" Cerquozzi. The fruits of this collaboration entered into numerous important Roman collections in the seventeenth and eighteenth centuries, the inventories of which either report the pictures as ""by Angeluccio with figures by Cerquozzi"", or as landscapes by Angeluccio alone",42377-souda.jpg,42512-cathedra.jpg,09373-leaping.jpg,08420-figures.jpg,35839-valkhof1.jpg,19686-westerke.jpg,29474-landsuns.jpg,04410-landscap.jpg,18726-guard106.jpg,04981-moonlit.jpg,4
23,Flight to Egypt,"MELONE, Altobello",religious,Italian,1501-1550,"The early decades of the sixteenth century in Cremona were some of the most turbulent in its political history. In these years of constantly changing foreign rulers, the local leaders of Cremona pursued an elaborate project of decoration with remarkable consistency. From 1506 to 1522 the community had the chancel and nave of the twelve-century cathedral frescoed. By continuing the decoration through all the changes in government, the community represented its own identity; it was an act of local self-assertion.The decoration was begun in the semi-dome vault of the apse in 1506. Boccaccio Boccaccino depicted, following a time-honoured scheme, the Epiphany of God in the Last Days (Christ in Majesty) as the principal and culminating image within the church space. Later, in 1514 Boccaccino received the commission to begin a fresco cycle of the life of Mary and Christ on the walls of the nave. They begin on the left wall, running from the fa�ade to the apse and then on the right wall from the apse back to the fa�ade. The left wall is dedicated to Mary and Christ's childhood; the right to the Passion.Boccaccino painted the scenes above the first four arches of the nave, and Giovan Francesco Bembo had been active above the fifth arch. He was not awarded another commission, the fresco cycle was continued by the Cremonese artist Altobello Melone. His contract regarding the frescoes above the next arch stipulated that his works should surpass in beauty Boccaccino's frescoes of the first two arches, which had been unveiled in 1515. Melone painted the Flight to Egypt and the Massacre of the Innocents with a wealth of motifs and drastic narrative. The protagonists have left the ideal, solemnly harmonious sphere of joyful childhood that Boccaccino's style suitably mirrors and have entered into a dramatic world depicted in Melone's coarser style.Melone continued the cycle on the right wall, he painted five scenes of the Passion above the three arches next to the apse.View all images of the fresco decoration in Cremona Cathedral by various artists",36799-carrying.jpg,35316-sketch1.jpg,25926-cremona1.jpg,05439-110madon.jpg,17474-3malvag4.jpg,00954-02virgin.jpg,37575-cleopatr.jpg,04511-virgin_c.jpg,40266-organ_2.jpg,16534-s_jerome.jpg,3
24,Frans Post,"HALS, Frans",portrait,Dutch,1601-1650,"The identification of the friendly sitter  for this small informal portrait as the Haarlem landscapist Frans Post (c. 1612-1680) is based on an inscription written on the lower margin of an impression of the first state of Jonas Suyderhoef's reverses engraving of it at the Albertina, Vienna. The print and the little painting are almost identical in size, which suggests that the painting was painted as a 'modello' for the engraving",23845-3manet04.jpg,19213-77post.jpg,13403-15arnol.jpg,12490-05self26.jpg,17551-09portra.jpg,13646-23ferenc.jpg,37416-portlady.jpg,34215-jesuit.jpg,29860-margaret.jpg,17546-04portra.jpg,2
25,Game Still-Life,"RYSBRACK, Pieter Andreas",still-life,Flemish,1701-1750,"The painting depicts a game still-life with a duck, a hare, small birds and fruits in a landscape",38105-vanitas.jpg,19439-stil_lif.jpg,27130-still_2.jpg,00097-still_fr.jpg,17027-antwerp6.jpg,10768-twoteals.jpg,33315-stilmelo.jpg,35884-gamestil.jpg,04599-medici4.jpg,29899-stil-flo.jpg,8
26,Hagar and Ishmael Banished by Abraham,"VERHAGHEN, Pieter Jozef",religious,Flemish,1751-1800,"A series of recent studies has led to something of a new attitude towards Flemish painting in the 18th century. Until fairly recently, the art of this period was considered to be rather inferior, despite the high artistic output, because of its perceived lack of innovation. On the one hand, Flemish artists of the 18th century continued to live off the inheritance of Rubens, whose art seemed unsurpassable. Artists such as Pieter Jozef Verhaghen worked entirely in the tradition of Rubens, and although he spent a few years in Italy, there are few traces of this in his work. His Hagar and Ishmael banished by Abraham, painted for the abbey at Tongerlo, has all the outward characteristics of a baroque painting, but lacks Rubens expressiveness. Meanwhile, other artists had fallen under the spell of France with its trend-setting rococo artists. This development was, however, rather out of character with Flemish artistic tradition",18104-2tosse1.jpg,24259-judith.jpg,10016-m_olives.jpg,31268-adoratio.jpg,36075-5window.jpg,25051-double1.jpg,42510-hagar_is.jpg,35665-deesis2.jpg,42791-1sacris.jpg,36299-man_sorr.jpg,7
27,Hercules and Antaeus,"SAMACCHINI, Orazio",mythological,Italian,1551-1600,"With such paintings as painted tapestry, painting within a painting it became possible to use the flat surface of a ceiling vault for narrative depictions. Given a corresponding design of the fictive architecture of a vault structure it became possible to combine an illusory extension of the room upward with an outward extension. Raphael's ingenious idea in the Vatican loggias was applied by Samacchini in Sala Baganza",07957-farnes01.jpg,36111-hercules.jpg,05692-sun1.jpg,15337-jupiter.jpg,29406-venus_c.jpg,09498-1wedding.jpg,35516-48mythol.jpg,16883-sheba.jpg,40149-birthven.jpg,43562-allegory.jpg,2
28,Il Ridotto,"LONGHI, Pietro",genre,Italian,1701-1750,"Pietro Longhi was first a pupil of Balestra and then of Crespi whose art was the source of his realism, which expressed a sober and sincere inner world, and a delight in detailed and fresh narrative. He conveyed his realism with wit and ease, whereas the immediacy with which he approached the landscape enriched his painting with a unique quality. Up to a certain point these elements can be discerned in pre-revolution French painting (Watteau, Chardin, Boucher and Lancret), whose influence also made itself felt in Pietro Longhi's realism. Only here and there did grotesque features appear in his art; he saw his figures with the eye of a sage and a gentle and witty impertinence is to be found in many of the scenes he depicted.Pietro Longhi became, by means of his genre-painting, one of the most faithful chroniclers of his age, and one who conjured up a regrettably vanished civilization. It should be borne in mind, however, that his connection with Goldoni and the teachings of Emilia encouraged him, through the observation of reality, to perform a kind of analysis of ""social depths""; he did not want to cause an upheaval but only wanted to point out &#151; perhaps tendentiously &#151; the ineptitude of a declining class of society. Although he did not pass sentence, he allowed his opinion to be known, being fully aware that changes were imminent. Sometimes he would ironically represent certain dandies, abbots and virgins",08667-01soap.jpg,20578-company5.jpg,04578-pendant2.jpg,29311-painter.jpg,09848-courb111.jpg,04586-young_gi.jpg,06918-elegantw.jpg,21435-fetewood.jpg,22942-09ridott.jpg,03173-spicesho.jpg,9
29,Illusionistic window,"SALVIATI, Cecchino del",religious,Italian,1501-1550,"Vasari points out that Salviati, in addition to his   work on the narrative frescoes, also executed some of the decorative details - the window framing between his two scenes, but also the illusionistic window to the right of the Birth of St John the Baptist scene. These window framings, with their nude youths atop festoons of fruit, are primarily decorative displays of artistic virtuosity; at the same time they contain elements - for example the tondo with the chiaroscuro depiction of Time revealing Truth - that can likewise easily be seen as referring to the theological content of the frescoes as well as to the work of the confraternity",18104-2tosse1.jpg,24259-judith.jpg,10016-m_olives.jpg,31268-adoratio.jpg,36075-5window.jpg,25051-double1.jpg,42510-hagar_is.jpg,35665-deesis2.jpg,42791-1sacris.jpg,36299-man_sorr.jpg,5
30,Judith with the Head of Holofernes,"MARINARI, Onorio",religious,Italian,1651-1700,"The pendant of the painting representing Salome with the head of the Baptist is also in the Budapest museum. The two paintings mark a perceptive continuation of the style of Carlo Dolci, Marinari's teacher and cousin, but interpreted in a luminist vein reminiscent of Pietro da Cortona",18104-2tosse1.jpg,24259-judith.jpg,10016-m_olives.jpg,31268-adoratio.jpg,36075-5window.jpg,25051-double1.jpg,42510-hagar_is.jpg,35665-deesis2.jpg,42791-1sacris.jpg,36299-man_sorr.jpg,2
31,Jupiter and Antiope,"GHERARDINI, Alessandro",mythological,Italian,1651-1700,"The composition of this painting is clearly related to a work by Luca Giordano depicting the Sleeping Venus with Cupid and a Satyr in the Museo di Capodimonte, Naples. Given the great popularity of Giordano's work in Florence, it is conceivable that Gherardini knew the composition of Venus with Cupid and a Satyr through other versions or drawings, and presented it in his own idiom",07957-farnes01.jpg,36111-hercules.jpg,05692-sun1.jpg,15337-jupiter.jpg,29406-venus_c.jpg,09498-1wedding.jpg,35516-48mythol.jpg,16883-sheba.jpg,40149-birthven.jpg,43562-allegory.jpg,4
32,Landscape at Sunset,"NEER, Aert van der",landscape,Dutch,1601-1650,"This painting represents a river at sunset, with boats, cows, and travelers enlivening the landscape. A village with a church appears on the left, while farmhouses and a tower are visible in the right background",42377-souda.jpg,42512-cathedra.jpg,09373-leaping.jpg,08420-figures.jpg,35839-valkhof1.jpg,19686-westerke.jpg,29474-landsuns.jpg,04410-landscap.jpg,18726-guard106.jpg,04981-moonlit.jpg,7
33,Landscape with a Fortress and a Beggar,"BERTIN, Jean-Victor",landscape,French,1801-1850,In his oil paintings Bertin remained loyal to traditional landscape style,42377-souda.jpg,42512-cathedra.jpg,09373-leaping.jpg,08420-figures.jpg,35839-valkhof1.jpg,19686-westerke.jpg,29474-landsuns.jpg,04410-landscap.jpg,18726-guard106.jpg,04981-moonlit.jpg,8
34,"Madame Ren de Gas, ne Estelle Muston","DEGAS, Edgar",portrait,French,1851-1900,"The portrait of Estelle Musson, the artist's first cousin, was painted during Degas's 1872-1873 visit to New Orleans. Not long after marrying Ren de Gas, Estelle had gone blind. Degas shows her gaze by passing us, a vacant gaze bent upon vacancy. It is a discreet and simple portrait of one woman's solitude and isolation",13439-alfieri.jpg,19203-71pend2.jpg,32173-louis_13.jpg,11142-1870s_07.jpg,32528-2princes.jpg,35578-23gevart.jpg,33531-42portra.jpg,41022-17portra.jpg,12350-portlady.jpg,12998-selfpor1.jpg,4
35,Madonna and Child with an Angel,"BOTTICELLI, Sandro",religious,Italian,1451-1500,"This painting shows the synthesis of trends that formed the style of Botticelli's painting. The composition of the painting resembles Lippi's art, but the figures are more delicately blended into the painting and their expressions and poses are more complicated.Behind the monumental, very sculptural figures is a broad, hilly landscape with a river. The boy-like angel appears to have just this moment stepped through the gap in the wall and come up to Mary and the child; he is presenting them with a bowl decorated with ears of grain and full of grapes. The Christ Child is blessing the gifts, which symbolize the bread and wine of the Eucharist.",36799-carrying.jpg,35316-sketch1.jpg,25926-cremona1.jpg,05439-110madon.jpg,17474-3malvag4.jpg,00954-02virgin.jpg,37575-cleopatr.jpg,04511-virgin_c.jpg,40266-organ_2.jpg,16534-s_jerome.jpg,4
36,Madonna and Child with the Infant St John the Baptist,PSEUDO-PIER FRANCESCO FIORENTINO,religious,Italian,1451-1500,"The paintings of this anonymous artist do not, in fact, resemble those of Pier Francesco Fiorentino, but rather follow models by Pesellino and Filippo Lippi. As with the majority of his oeuvre, this work does not repeat a known composition by Lippi, but rather is a pastiche, combining a number of templates by that artist. ",43957-2luke.jpg,05008-findmose.jpg,32539-mad_chil.jpg,32267-19gather.jpg,00781-3predel4.jpg,25224-karlstei.jpg,01094-christ.jpg,37004-service.jpg,44046-1diptych.jpg,04389-annuncia.jpg,3
37,Madonna with the Child,"CRIVELLI, Vittore",religious,Italian,1451-1500,"Vittorio Crivelli was the younger brother of Carlo Crivelli. He painted mainly altarpieces in a style very similar to his brother's. This Madonna is the central panel of a polyptich. On the two left panels St Anthony and Nicholas, while on the two right panels St Christophor and St Catherine are depicted",14788-giustina.jpg,24109-95magi.jpg,17505-14virgin.jpg,16385-chris13.jpg,10534-madonna.jpg,08864-12peter.jpg,02764-eccehomo.jpg,23189-32monaco.jpg,34269-phaeton.jpg,24000-zeno04.jpg,5
38,Man of Sorrows,"SANTI, Giovanni",religious,Italian,1451-1500,"Giovanni Santi enjoyed considerable success both at court and in society and his thriving workshop not only monopolized the market with its production of paintings, but attracted a circle of intellectuals and artists, creating a dominant artistic centre in Urbino toward the end of the fifteenth century.1 It was within these inspiring surroundings that Giovanni's son, Raphael, was to train and flourish",18104-2tosse1.jpg,24259-judith.jpg,10016-m_olives.jpg,31268-adoratio.jpg,36075-5window.jpg,25051-double1.jpg,42510-hagar_is.jpg,35665-deesis2.jpg,42791-1sacris.jpg,36299-man_sorr.jpg,10
39,Maria Lactans,"GOZZOLI, Benozzo",religious,Italian,1451-1500,"In the centre of the Shrine of the Madonna della Tosse the Madonna breast feeding the Child is depicted. This type of Madonna was common from the late Middle ages onwards. She is surrounded by St Peter with the keys and a book, St Catherine with a broken wheel, St Margaret with a cross, and St Paul with a sword and book. In order to create the impression of a real altarpiece, several angels are holding a curtain around the altar painting. At the bottom edge of the picture, as if placed there quite by chance, Benozzo has painted a small pointed panel painting showing the face of Christ",18104-2tosse1.jpg,24259-judith.jpg,10016-m_olives.jpg,31268-adoratio.jpg,36075-5window.jpg,25051-double1.jpg,42510-hagar_is.jpg,35665-deesis2.jpg,42791-1sacris.jpg,36299-man_sorr.jpg,1
40,Mercury and Argus,"RUBENS, Peter Paul",mythological,Flemish,1601-1650,"The source of the subject is Ovid's Metamorphoses.The love affairs of gods never bode well for mortals; there were times when they caused nothing but suffering even for some of the nymphs. Io, the beautiful daughter of the river god Inachus, fell prey to the passion of Jupiter, who - in order to hide her from his jealous wife - turned the girl into a cow. The wily Juno talked her husband into giving her the fine-looking animal and had the hundred-eyed Argus guard it. Jupiter gave Mercury the task of killing the wicked guard. The inventive god (the Greeks called him ""Hermes dolios"", the schemer) approached the meadows, herding some goats which he had stolen along the way, and played songs on his pipe. The guard was charmed by the new and masterful melodies.Mercury watches intently as Argus is mesmerized by the sound of the flute, and he is already reaching for the weapon with which he will behead the sleepy guardian.Rubens depicted a fipple flute in place of a Pan-pipe. From the aulos used at feasts of Antiquity and the Roman tibia through the medieval bagpipes and Renaissance-Baroque horns and musettes, all the way to the saxophone of our times, every wind instrument was attributed with having a dangerous mesmerizing power",07957-farnes01.jpg,36111-hercules.jpg,05692-sun1.jpg,15337-jupiter.jpg,29406-venus_c.jpg,09498-1wedding.jpg,35516-48mythol.jpg,16883-sheba.jpg,40149-birthven.jpg,43562-allegory.jpg,7
41,No. 29 Scenes from the Life of Christ: 13. Last Supper (before restoration),GIOTTO di Bondone,religious,Italian,1301-1350,The picture shows the fresco before the restoration completed in 2002,14788-giustina.jpg,24109-95magi.jpg,17505-14virgin.jpg,16385-chris13.jpg,10534-madonna.jpg,08864-12peter.jpg,02764-eccehomo.jpg,23189-32monaco.jpg,34269-phaeton.jpg,24000-zeno04.jpg,4
